P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
pMT1	pMT1_pers_CH61_RS00675	CH61_RS00675	1	1	815.2	1	GENOMAD.106654.VP	gp32 DNA binding protein like	0.438	1.704e-69	241	phrog_1192	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	6.7e-124	1.046	NA	NA	NA
pMT1	pMT1_pers_DJY80_RS21890	DJY80_RS21890	1	0.932	363.2	1	GENOMAD.153107.VP	NA	0.398	4.605e-24	102	phrog_1141	tail fiber protein	tail	6.299999999999999e-84	0.959	NA	NA	NA
pMT1	pMT1_pers_DJY80_RS22060	DJY80_RS22060	1	1	379.3	1	GENOMAD.223369.VP	NA	0.918	2.187e-96	309	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_EGX42_RS00395	EGX42_RS00395	1	1	954.3	1	GENOMAD.142203.PV	ParA helix turn helix domain	0.805	4.122e-39	154	phrog_164	ParA-like partition protein	DNA, RNA and nucleotide metabolism	4e-139	0.774	parA_big_nr_90_40_FAM3	1.8e-218	0.998
pMT1	pMT1_pers_EGX46_RS23145	EGX46_RS23145	1	1	376.7	1	GENOMAD.012359.CC	cardiolipin synthase	0.274	1.015e-6	50	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_EGX46_RS23795	EGX46_RS23795	1	1	291.2	1	NA	NA	NA	NA	NA	phrog_4583	transcriptional repressor	transcription regulation	4e-4	0.815	NA	NA	NA
pMT1	pMT1_pers_EGX74_RS23230	EGX74_RS23230	1	1	192.3	1	GENOMAD.085680.PV	Bacterial protein of unknown function (DUF905)	0.828	5.309e-38	136	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK68_RS21110	GCK68_RS21110	1	1	295.2	1	GENOMAD.034966.VV	Bacteriophage P22, NinX	0.383	6.412e-18	81	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK68_RS21115	GCK68_RS21115	1	1	654.9	1	GENOMAD.215557.VP	Predicted small secreted protein	0.848	2.366e-25	109	phrog_200	lipoprotein	other	2.1e-110	0.726	NA	NA	NA
pMT1	pMT1_pers_GCK68_RS21120	GCK68_RS21120	1	1	160.7	1	GENOMAD.195585.VP	NA	0.59	5.602e-18	78	phrog_1130	membrane protein	moron, auxiliary metabolic gene and host takeover	2.2e-33	1	NA	NA	NA
pMT1	pMT1_pers_GCK68_RS21325	GCK68_RS21325	1	1	205	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK68_RS21505	GCK68_RS21505	1	0.477	259.6	1	GENOMAD.180831.VP	Minor capsid protein	0.687	3.273e-45	159	phrog_763	head-tail adaptor	connector	4.2e-4	0.786	NA	NA	NA
pMT1	pMT1_pers_GCK69_RS21700	GCK69_RS21700	1	1	1892.8	1	GENOMAD.222762.VP	Cobalamin biosynthesis protein CobT	0.147	1.712e-9	64	phrog_5298	cobalamin biosynthesis protein	moron, auxiliary metabolic gene and host takeover	1.5e-12	0.919	NA	NA	NA
pMT1	pMT1_pers_GCK69_RS21905	GCK69_RS21905	1	1	820.2	1	NA	NA	NA	NA	NA	phrog_2199	transposase	integration and excision	2.5e-132	0.949	NA	NA	NA
pMT1	pMT1_pers_GCK69_RS22085	GCK69_RS22085	1	1	201.3	1	GENOMAD.220440.VP	NA	0.774	1.757e-37	135	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK69_RS22090	GCK69_RS22090	1	1	494.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK70_RS21365	GCK70_RS21365	1	1	207.9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK70_RS21550	GCK70_RS21550	1	1	479.1	1	GENOMAD.061183.VV	Resolvase, N terminal domain	0.272	1.027e-4	45	phrog_125	DNA invertase	DNA, RNA and nucleotide metabolism	7.4e-48	0.807	NA	NA	NA
pMT1	pMT1_pers_GCK70_RS21555	GCK70_RS21555	1	1	745.1	1	GENOMAD.088455.PP	NA	0.766	1.029e-34	138	phrog_3300	transposase	integration and excision	7.4e-138	0.99	NA	NA	NA
pMT1	pMT1_pers_GCK70_RS21755	GCK70_RS21755	1	0.609	1023.2	1	GENOMAD.124421.VP	NA	0.31	2.308e-51	191	phrog_10250	terminase large subunit	head and packaging	2.6e-68	0.943	NA	NA	NA
pMT1	pMT1_pers_GCK70_RS21760	GCK70_RS21760	1	0.933	479.7	1	GENOMAD.195594.VP	Transposase	0.653	3.413e-92	300	phrog_867	DNA binding domain	DNA, RNA and nucleotide metabolism	3.3e-111	0.968	NA	NA	NA
pMT1	pMT1_pers_GCK71_RS21610	GCK71_RS21610	1	0.439	203.1	1	GENOMAD.224297.VP	NA	0.904	6.905e-49	168	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GCK71_RS22000	GCK71_RS22000	1	1	332.1	1	GENOMAD.171885.VP	NA	0.699	1.691e-66	222	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GD372_RS21620	GD372_RS21620	1	1	142.5	1	GENOMAD.226194.VP	NA	0.793	4.048e-25	98	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GD372_RS21805	GD372_RS21805	1	1	618	1	GENOMAD.000720.PP	NA	0.811	2.11e-137	433	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GD372_RS21810	GD372_RS21810	1	1	320.1	1	GENOMAD.000661.PP	NA	0.884	2.058e-78	256	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GD372_RS22015	GD372_RS22015	1	0.412	237.7	1	GENOMAD.212145.VP	NA	0.908	5.24e-60	201	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_GD372_RS22200	GD372_RS22200	1	1	803.4	1	GENOMAD.214465.PC	ABC transporter periplasmic binding protein, urea carboxylase region	0.259	2.189e-24	108	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_M478_RS00150	M478_RS00150	1	1	1263.5	1	GENOMAD.168006.VP	NA	0.795	1.017e-137	448	phrog_145	portal protein	head and packaging	1.1e-145	1.018	NA	NA	NA
pMT1	pMT1_pers_M478_RS00355	M478_RS00355	1	1	180	1	NA	NA	NA	NA	NA	phrog_2268	antitoxin from a toxin-antitoxin system	moron, auxiliary metabolic gene and host takeover	1.2e-30	0.893	NA	NA	NA
pMT1	pMT1_pers_M478_RS00365	M478_RS00365	1	1	748.8	1	GENOMAD.136199.PV	ParB family	0.577	1.313e-35	141	phrog_1146	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.6e-123	0.895	parB_big_nr_90_40_FAM2	6.1e-140	0.985
pMT1	pMT1_pers_M479_RS00505	M479_RS00505	1	1	865.7	1	GENOMAD.220361.VP	DNA repair exonuclease SbcCD nuclease subunit	0.99	6.222e-131	420	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_M481_RS00115	M481_RS00115	1	1	989.9	1	GENOMAD.031026.VV	cobaltochelatase, CobS subunit	0.292	6.734e-11	67	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	8.099999999999999e-111	1.05	NA	NA	NA
pMT1	pMT1_pers_M481_RS00310	M481_RS00310	1	1	183.3	1	GENOMAD.223726.VP	NA	0.794	7.684e-34	124	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_M481_RS00315	M481_RS00315	1	1	496.2	1	GENOMAD.223168.VP	NA	0.866	2.358e-123	390	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_M481_RS00475	M481_RS00475	1	1	2228.4	1	GENOMAD.082762.VV	NA	0.447	2.904e-136	462	phrog_295	tail fiber protein	tail	1.4e-217	1.212	NA	NA	NA
pMT1	pMT1_pers_M482_RS00695	M482_RS00695	1	1	436.7	1	NA	NA	NA	NA	NA	phrog_2620	excisionase and transcriptional regulator	integration and excision	2.9e-114	1	NA	NA	NA
pMT1	pMT1_pers_M482_RS00700	M482_RS00700	1	0.843	325.2	1	GENOMAD.224989.VP	NA	0.933	1.037e-89	289	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_M483_RS00585	M483_RS00585	1	1	722.6	1	GENOMAD.037318.PP	NA	1	2.657e-93	308	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_M484_RS00255	M484_RS00255	1	1	476.3	1	GENOMAD.167268.VP	Caudovirales tail fibre assembly protein, lambda gpK	0.482	3.035e-44	161	phrog_105	tail fiber assembly	tail	3.3e-95	0.833	NA	NA	NA
pMT1	pMT1_pers_M484_RS00420	M484_RS00420	1	1	422.7	1	GENOMAD.224227.VP	Repressor of phase-1 flagellin	0.917	3.806e-106	338	phrog_1444	transcriptional repressor	transcription regulation	1.2e-110	1	NA	NA	NA
pMT1	pMT1_pers_M484_RS00620	M484_RS00620	1	1	2852.8	1	GENOMAD.220689.VP	uracil-DNA glycosylase family domain	0.991	4.88e-84	308	phrog_405	DNA polymerase	DNA, RNA and nucleotide metabolism	0	0.983	NA	NA	NA
pMT1	pMT1_pers_S96127_RS00630	S96127_RS00630	1	1	393.7	1	GENOMAD.144176.VV	Antirestriction protein	0.225	5.451e-5	45	phrog_2059	anti-restriction protein	moron, auxiliary metabolic gene and host takeover	1.7e-50	0.895	NA	NA	NA
pMT1	pMT1_pers_S96127_RS00795	S96127_RS00795	1	1	256.8	1	GENOMAD.224208.VP	NA	0.91	4.71e-64	213	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_S96127_RS00965	S96127_RS00965	1	1	297	1	GENOMAD.171056.VP	Bacteriophage minor capsid protein	0.785	2.755e-61	206	phrog_10344	minor head protein	head and packaging	1.1e-4	0.555	NA	NA	NA
pMT1	pMT1_pers_YPANGOLA_RS00300	YPANGOLA_RS00300	1	1	1247.7	1	GENOMAD.152072.VP	Phage minor tail protein L	0.236	8.789e-38	153	phrog_9690	DNA helicase	DNA, RNA and nucleotide metabolism	1.3e-50	0.889	NA	NA	NA
pMT1	pMT1_pers_YPA_RS21830	YPA_RS21830	1	1	569.4	1	GENOMAD.132619.VP	NA	0.508	7.95e-44	162	phrog_1280	Ig domain containing protein	other	1.9e-169	1	NA	NA	NA
pMT1	pMT1_pers_YPC_RS21480	YPC_RS21480	1	0.409	3270.2	1	GENOMAD.178476.VP	NA	0.879	8.005e-269	875	phrog_1292	tail length tape measure protein	tail	0	1.001	NA	NA	NA
pMT1	pMT1_pers_YPC_RS21665	YPC_RS21665	1	1	512.7	1	GENOMAD.222271.VP	ASC-1 homology (ASCH) domain, predicted RNA-binding domain	0.918	2.244e-131	413	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YPC_RS21825	YPC_RS21825	0.101	0.096	751.3	1	GENOMAD.162464.PC	Uncharacterized conserved protein, DUF2384 family	0.281	1.928e-20	96	phrog_1157	transposase	integration and excision	1.9e-164	0.803	NA	NA	NA
pMT1	pMT1_pers_YPD4_RS21850	YPD4_RS21850	0.116	0.111	609.7	1	GENOMAD.192855.VC	DNA replication protein DnaC	0.198	7.877e-4	43	phrog_3277	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism	2.1e-56	0.935	NA	NA	NA
pMT1	pMT1_pers_YPD4_RS22020	YPD4_RS22020	1	1	324.2	1	NA	NA	NA	NA	NA	phrog_890	lipoprotein	other	2.6e-58	0.963	NA	NA	NA
pMT1	pMT1_pers_YPD4_RS22210	YPD4_RS22210	1	1	175.4	1	GENOMAD.225422.VP	NA	0.829	2.983e-33	122	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YPD4_RS22220	YPD4_RS22220	1	1	882.8	1	NA	NA	NA	NA	NA	phrog_216	integrase	integration and excision	6.4e-14	0.777	NA	NA	NA
pMT1	pMT1_pers_YPDSF_RS21420	YPDSF_RS21420	1	0.488	500.4	1	GENOMAD.221754.VP	NA	1	1.235e-34	134	phrog_341	major tail protein	tail	4.7e-24	0.578	NA	NA	NA
pMT1	pMT1_pers_YPDSF_RS21615	YPDSF_RS21615	1	1	176.2	1	GENOMAD.220953.VP	NA	0.493	3.818e-16	73	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YPN_RS20995	YPN_RS20995	1	1	363.5	1	GENOMAD.195646.VP	phage protein, HK97 gp10 family	0.669	1.39e-66	223	phrog_927	tail completion or Neck1 protein	connector	2.4e-79	0.935	NA	NA	NA
pMT1	pMT1_pers_YPN_RS21355	YPN_RS21355	0.82	0.82	964.5	1	NA	NA	NA	NA	NA	phrog_2331	transposase	integration and excision	4.9e-204	0.966	NA	NA	NA
pMT1	pMT1_pers_YPN_RS21390	YPN_RS21390	1	1	1439	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YPO_RS00910	YPO_RS00910	1	1	252.7	1	GENOMAD.182552.PC	Plasmid stabilization system protein ParE	0.847	8.179e-57	192	phrog_1213	RelE-like toxin	moron, auxiliary metabolic gene and host takeover	1.8e-4	0.852	NA	NA	NA
pMT1	pMT1_pers_YPZ3_RS21595	YPZ3_RS21595	1	1	470.3	1	GENOMAD.143103.VP	Phage-related protein, tail component	0.32	1.28e-21	95	phrog_32	tail assembly protein	tail	3.9e-65	0.951	NA	NA	NA
pMT1	pMT1_pers_YPZ3_RS21600	YPZ3_RS21600	1	1	652.9	1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.356	3.68e-41	155	phrog_2635	tail protein	tail	1.2e-28	1.067	NA	NA	NA
pMT1	pMT1_pers_YPZ3_RS21770	YPZ3_RS21770	1	1	222.9	1	GENOMAD.224610.VP	NA	0.985	1.595e-58	196	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YPZ3_RS21950	YPZ3_RS21950	1	1	613.4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YP_RS21725	YP_RS21725	0.977	0.166	608.6	1	GENOMAD.208864.VP	Phage capsid-like protein	0.292	3.986e-41	156	phrog_212	major head protein	head and packaging	7.799999999999999e-111	0.967	NA	NA	NA
pMT1	pMT1_pers_YP_RS21915	YP_RS21915	1	1	215.5	1	GENOMAD.222687.VP	NA	0.973	3.938e-56	189	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_YP_RS22080	YP_RS22080	1	1	1607.8	1	NA	NA	NA	NA	NA	phrog_1033	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.8e-13	0.575	parB_big_nr_90_40_FAM1	1.4e-19	0.942
pSLy3	pSLy3_pers_A9C00_RS26400	A9C00_RS26400	1	0.545	277.8	1.1	GENOMAD.223376.VP	Phosphatidate phosphatase APP1, catalytic domain	0.911	6.915e-81	263	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_AM483_RS27040	AM483_RS27040	1	0.98	253.6	1	GENOMAD.224208.VP	NA	0.848	1.725e-58	197	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_AM483_RS27125	AM483_RS27125	0.982	0.43	379.5	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_BE965_RS00200	BE965_RS00200	1	1	537.4	1	GENOMAD.198278.VP	NA	0.862	2.137e-133	420	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_BE965_RS00535	BE965_RS00535	0.982	0.288	158.6	1.3	NA	NA	NA	NA	NA	phrog_1026	Rz-like spanin	lysis	1.1e-27	0.941	NA	NA	NA
pSLy3	pSLy3_pers_BLJ80_RS26705	BLJ80_RS26705	0.952	0.231	132.9	1	GENOMAD.220953.VP	NA	0.482	1.912e-15	71	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_BWZ24_RS01705	BWZ24_RS01705	1	1	148.5	1	GENOMAD.066254.VV	NA	0.61	2.053e-18	79	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_BWZ24_RS01875	BWZ24_RS01875	1	0.583	476.1	1	GENOMAD.178051.VP	ParB/RepB/Spo0J family partition protein	0.261	3.666e-13	71	phrog_930	ParB-like partition protein	DNA, RNA and nucleotide metabolism	9.6e-116	0.996	NA	NA	NA
pSLy3	pSLy3_pers_C6669_RS27590	C6669_RS27590	1	0.6	489.8	1.1	GENOMAD.171390.VP	ParB/RepB/Spo0J family partition protein	0.221	1.41e-4	45	phrog_723	ParB-like partition protein	DNA, RNA and nucleotide metabolism	5.3e-82	1.022	NA	NA	NA
pSLy3	pSLy3_pers_C6669_RS27960	C6669_RS27960	1	0.978	142.9	1.1	GENOMAD.195585.VP	NA	0.567	6.275e-17	75	phrog_1130	membrane protein	moron, auxiliary metabolic gene and host takeover	2.4e-28	0.985	NA	NA	NA
pSLy3	pSLy3_pers_C6P55_RS30195	C6P55_RS30195	1	0.982	231	1	GENOMAD.223526.VP	NA	0.87	1.58e-55	188	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_C6P55_RS30200	C6P55_RS30200	1	0.983	247.7	1.1	GENOMAD.147694.VV	NA	1	2.134e-71	234	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_C6P55_RS30285	C6P55_RS30285	1	0.564	1305.1	1.1	GENOMAD.222265.VP	NA	0.963	2.876e-93	320	phrog_6263	DNA methyltransferase	other	3e-302	1.024	NA	NA	NA
pSLy3	pSLy3_pers_CCV27_RS25190	CCV27_RS25190	1	0.385	700	1	NA	NA	NA	NA	NA	phrog_886	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	6.499999999999999e-167	1	NA	NA	NA
pSLy3	pSLy3_pers_CE141_RS27555	CE141_RS27555	1	0.421	508.8	1.1	GENOMAD.205356.VP	NA	0.35	3.224e-24	104	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_CE141_RS27935	CE141_RS27935	1	1	912.2	1	GENOMAD.030715.VV	Ribonucleotide reductase beta subunit, ferritin-like domain	0.267	5.568e-33	135	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	3.4e-147	0.748	NA	NA	NA
pSLy3	pSLy3_pers_CEQ26_RS00025	CEQ26_RS00025	1	0.984	813.4	1.1	NA	NA	NA	NA	NA	phrog_1	integrase	integration and excision	1.7e-48	0.568	NA	NA	NA
pSLy3	pSLy3_pers_CEQ26_RS00225	CEQ26_RS00225	0.984	0.248	649	1.1	GENOMAD.208864.VP	Phage capsid-like protein	0.282	7.431e-38	147	phrog_212	major head protein	head and packaging	1.6e-106	1.017	NA	NA	NA
pSLy3	pSLy3_pers_CEQ26_RS00375	CEQ26_RS00375	1	0.98	292.7	1	GENOMAD.180534.VP	NA	0.259	9.124e-7	49	phrog_811	UmuD-like protein	DNA, RNA and nucleotide metabolism	1.7e-56	0.879	NA	NA	NA
pSLy3	pSLy3_pers_COG38_RS25400	COG38_RS25400	1	0.39	712.6	1.1	GENOMAD.218988.VP	T4 RNase H, C terminal	0.959	6.526e-79	267	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism	6.5e-66	0.576	NA	NA	NA
pSLy3	pSLy3_pers_COG38_RS25585	COG38_RS25585	1	1	288.8	1.1	GENOMAD.151642.VV	NA	0.895	4.415e-72	237	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_CPZ02_RS26810	CPZ02_RS26810	1	1	675.7	1	GENOMAD.221754.VP	NA	0.888	2.266e-26	113	phrog_341	major tail protein	tail	3.2e-25	0.591	NA	NA	NA
pSLy3	pSLy3_pers_CPZ02_RS26895	CPZ02_RS26895	1	0.933	163.6	1.1	GENOMAD.223726.VP	NA	0.76	4.253e-32	119	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_CRT34_RS27280	CRT34_RS27280	1	0.98	207.9	1	GENOMAD.223271.VP	NA	0.856	1.86e-50	173	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_CXX05_RS25700	CXX05_RS25700	1	1	160.3	1	GENOMAD.225515.VP	NA	0.929	3.753e-37	133	phrog_6145	MIT family metal ion transporter	moron, auxiliary metabolic gene and host takeover	1.6e-49	1	NA	NA	NA
pSLy3	pSLy3_pers_D3W51_RS24515	D3W51_RS24515	0.967	0.31	452.3	1.1	GENOMAD.223168.VP	NA	0.864	5.241e-123	389	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_DFS94_RS24355	DFS94_RS24355	1	0.38	186.7	1.1	GENOMAD.221585.VP	DNA-binding transcriptional regulator, PadR family	0.749	9.577e-38	136	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_DFS94_RS24530	DFS94_RS24530	1	0.656	1019.1	1	GENOMAD.158918.VP	replicative DNA helicase	0.202	7.087e-20	96	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	4.4e-90	0.7	NA	NA	NA
pSLy3	pSLy3_pers_DWB25_RS24300	DWB25_RS24300	1	1	3035.9	1.1	GENOMAD.180967.VP	Phage-related protein, tail component	0.311	7.096e-98	356	phrog_31	central tail fiber J	tail	0	0.888	NA	NA	NA
pSLy3	pSLy3_pers_EAH50_RS24835	EAH50_RS24835	1	0.468	1000.2	1.1	GENOMAD.195648.VP	DNA ligase, ATP-dependent, PP_1105 family	0.901	4.838e-271	829	phrog_114	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	4.2e-128	0.692	NA	NA	NA
pSLy3	pSLy3_pers_ECRM9975_RS28335	ECRM9975_RS28335	1	1	415.5	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_FNE85_RS24595	FNE85_RS24595	1	0.491	346.1	1.1	NA	NA	NA	NA	NA	phrog_316	dihydrofolate reductase	DNA, RNA and nucleotide metabolism	1.1e-53	0.737	NA	NA	NA
pSLy3	pSLy3_pers_FNE86_RS22760	FNE86_RS22760	1	0.982	284.8	1	NA	NA	NA	NA	NA	phrog_4583	transcriptional repressor	transcription regulation	1.6e-5	0.852	NA	NA	NA
pSLy3	pSLy3_pers_FNE86_RS22765	FNE86_RS22765	1	0.982	155.2	1.1	GENOMAD.225422.VP	NA	0.805	7.403e-32	118	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_FNE86_RS22920	FNE86_RS22920	1	0.496	170.2	1.1	GENOMAD.223441.VP	NA	0.889	1.933e-40	143	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_FNE86_RS23240	FNE86_RS23240	0.968	0.288	217.3	1.1	GENOMAD.219539.VP	NA	0.854	7.793e-57	192	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_FNP78_RS00045	FNP78_RS00045	1	1	207.8	1	GENOMAD.222687.VP	NA	0.925	1.188e-52	179	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_FNP78_RS00605	FNP78_RS00605	1	1	311.8	1	GENOMAD.223588.VP	NA	0.847	6.134e-75	246	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_FNP78_RS00610	FNP78_RS00610	1	0.505	447.5	1.1	GENOMAD.182763.VC	Predicted ATPase	0.214	1.221e-5	48	phrog_168	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism	4e-12	0.608	NA	NA	NA
pSLy3	pSLy3_pers_GAG93_RS23820	GAG93_RS23820	1	0.652	886.4	1.1	GENOMAD.031026.VV	cobaltochelatase, CobS subunit	0.32	2.815e-10	65	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	8.5e-109	1.053	NA	NA	NA
pSLy3	pSLy3_pers_GAG93_RS24010	GAG93_RS24010	1	0.385	232.6	1	GENOMAD.212145.VP	NA	0.902	1.167e-59	200	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_GAG93_RS24170	GAG93_RS24170	1	0.978	222.7	1.1	GENOMAD.171582.VP	NA	0.698	4.845e-42	149	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_GAG93_RS24175	GAG93_RS24175	1	0.981	1650.3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_GBF15_RS23775	GBF15_RS23775	1	0.382	247.6	1	GENOMAD.180831.VP	Minor capsid protein	0.67	1.795e-43	154	phrog_763	head-tail adaptor	connector	1.8e-4	0.821	NA	NA	NA
pSLy3	pSLy3_pers_GBF15_RS23780	GBF15_RS23780	1	0.584	619.9	1.1	GENOMAD.179799.VP	NA	0.661	1.766e-113	365	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_GBF15_RS23785	GBF15_RS23785	1	1	302.9	1.1	GENOMAD.171885.VP	NA	0.604	2.434e-54	187	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_GBF15_RS23940	GBF15_RS23940	1	0.981	850.1	1	NA	NA	NA	NA	NA	phrog_164	ParA-like partition protein	DNA, RNA and nucleotide metabolism	1.3e-67	0.73	NA	NA	NA
pSLy3	pSLy3_pers_GBF15_RS24100	GBF15_RS24100	1	1	1873.5	1	GENOMAD.029837.VV	DnaA regulatory inactivator Hda	0.216	5.829e-49	192	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	0	0.79	NA	NA	NA
pSLy3	pSLy3_pers_GZS17_RS24735	GZS17_RS24735	1	0.978	187.7	1.1	GENOMAD.224456.VP	NA	0.886	8.09e-46	159	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_GZS17_RS25215	GZS17_RS25215	1	0.75	465.3	1.1	GENOMAD.222271.VP	ASC-1 homology (ASCH) domain, predicted RNA-binding domain	0.822	2.475e-113	361	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_H5V41_RS22790	H5V41_RS22790	1	0.978	168.2	1	GENOMAD.224443.VP	NA	0.854	2.539e-35	128	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_H7R53_RS24705	H7R53_RS24705	1	0.983	861.4	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_H7R53_RS24885	H7R53_RS24885	1	0.648	809.1	1.1	GENOMAD.220361.VP	DNA repair exonuclease SbcCD nuclease subunit	0.883	2.66e-113	369	phrog_1649	metallo-phosphoesterase	other	1e-6	0.646	NA	NA	NA
pSLy3	pSLy3_pers_HCR07_RS28410	HCR07_RS28410	0.983	0.253	233.6	1.1	GENOMAD.142618.VP	Phage-related protein	0.442	1.438e-20	88	phrog_21806	minor tail protein	tail	1.9e-6	0.906	NA	NA	NA
pSLy3	pSLy3_pers_HHJ44_RS25345	HHJ44_RS25345	1	0.405	1198.6	1	GENOMAD.152072.VP	Phage minor tail protein L	0.238	9.274e-39	156	phrog_9690	DNA helicase	DNA, RNA and nucleotide metabolism	1.4e-51	0.886	NA	NA	NA
